County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng,CountyName,State
"Madison County, AR",299.34399080000014,0,9,0,38,48,77,7,3,15701,3.692307692307693,4.0,1.25,13,36.08954161550405,-93.73394665702592,Madison County,AR
"Sullivan County, PA",299.1654858,0,1,0,18,44,50,4,0,6351,4.305555555555555,4.5,1.375,18,41.45475235695924,-76.52900884753767,Sullivan County,PA
"Banks County, GA",298.66956289999996,0,2,1,52,109,428,29,0,18415,3.051282051282051,3.0,1.4411764705882353,39,34.25450038638969,-83.46842519336731,Banks County,GA
"Maverick County, TX",298.5768433,3,4,4,156,512,993,42,1,55932,3.81,4.0,1.4166666666666667,50,28.693675251352957,-100.47681259960794,Maverick County,TX
"Clark County, OH",298.1632848000001,5,45,182,174,1753,3708,213,93,136167,4.22,4.25,1.525,50,39.912132756125494,-83.82082898379623,Clark County,OH
"Arapahoe County, CO",297.9886998,22,265,552,970,2879,11787,1348,110,607070,3.5769230769230766,4.0,1.1666666666666667,13,39.740765889803356,-104.37587951157109,Arapahoe County,CO
"Scott County, KS",297.9145978,0,3,0,12,16,60,5,0,5035,3.5,4.0,1.0,13,38.47601260645139,-100.9061119968157,Scott County,KS
"Mitchell County, KS",297.89902789999996,0,3,0,16,15,45,3,1,6378,3.3125,3.25,1.1666666666666667,8,39.45857038084415,-98.11591825470605,Mitchell County,KS
"Jackson County, MS",296.90281239999996,5,74,103,235,1406,3153,323,19,140450,4.15,4.0,1.5757575757575757,50,30.411885710711307,-88.60895700326509,Jackson County,MS
"Lyon County, NV",296.758927,1,19,12,121,322,729,73,10,51557,3.775,4.0,1.3333333333333333,20,38.98988781894403,-119.1670851732401,Lyon County,NV
"Buena Vista County, IA",296.5916274,0,3,0,58,90,217,13,5,20567,3.515151515151515,3.5,1.2083333333333333,33,42.6474346079677,-95.19951427124712,Buena Vista County,IA
"Wakulla County, FL",296.563729,0,13,4,75,149,513,22,7,31022,3.5,3.5,1.4615384615384617,40,30.16111351375596,-84.37418343663275,Wakulla County,FL
"Ochiltree County, TX",296.1317786,0,0,0,32,35,110,12,4,10806,2.4,3.0,1.0,5,36.3730212,-100.8008954,Ochiltree County,TX
"Wayne County, IN",296.0540851,7,51,55,88,613,1259,143,41,67893,3.81,4.0,1.3055555555555556,50,39.84356028322349,-84.92223639983824,Wayne County,IN
"Cass County, ND",296.0160659,1,82,54,345,620,2813,200,23,162829,4.28,4.5,1.7959183673469388,50,46.86712112925622,-96.83771958765504,Cass County,ND
"Mineral County, WV",295.9861392,0,7,6,69,131,287,17,1,27704,3.5,3.75,1.1875,24,39.44328408536173,-78.99117827826265,Mineral County,WV
"Boone County, IA",295.85798819999997,1,12,2,63,122,234,6,3,26364,3.645161290322581,4.0,1.3,31,42.03081544887199,-93.88356100698343,Boone County,IA
"Kootenai County, ID",295.2899179,1,58,23,343,1173,3096,274,37,144265,4.3,4.5,1.75,50,47.684462102381836,-116.77828998185737,Kootenai County,ID
"Hernando County, FL",295.2287593000001,2,46,71,396,1249,3213,166,7,174441,3.91,4.0,1.2954545454545454,50,28.54844184408745,-82.39722726626124,Hernando County,FL
"Marion County, IL",295.1685568,0,12,15,87,292,944,52,8,38622,3.6666666666666665,4.0,1.28,33,38.62583716847123,-88.94432058450795,Marion County,IL
"Macon County, TN",295.1411832,0,2,0,65,56,149,26,1,22701,3.1666666666666665,3.0,1.1,15,36.52962675576071,-86.03317219725479,Macon County,TN
"Sumner County, TN",294.869973,2,31,41,423,674,2327,108,31,168888,3.93,4.0,1.5116279069767442,50,36.38238783663837,-86.46449901229543,Sumner County,TN
"Lawrence County, AL",294.7569,0,4,6,89,206,362,49,5,33587,3.821428571428572,4.0,1.4736842105263157,28,34.49391286858315,-87.29040871621649,Lawrence County,AL
"Overton County, TN",294.45073610000014,1,3,2,59,119,167,13,5,22075,3.4642857142857144,3.5,1.2941176470588236,28,36.37049634929159,-85.33217211115111,Overton County,TN
"Washtenaw County, MI",294.4331527,6,159,188,690,2339,5739,441,85,354240,4.17,4.0,1.94,50,42.2764083880124,-83.76043059001229,Washtenaw County,MI
"Mille Lacs County, MN",294.1973445,0,17,11,48,195,592,53,3,25833,4.14,4.0,1.5869565217391304,50,45.75678544747046,-93.84685936028288,Mille Lacs County,MN
"Lake County, OR",294.11764710000006,0,4,0,19,7,14,3,0,7820,4.14,4.5,1.5555555555555556,25,43.02652552443957,-120.72167754596292,Lake County,OR
"Colorado County, TX",293.9475713,4,13,2,42,120,255,22,0,20752,3.227272727272727,3.5,1.1578947368421053,22,29.695358195883543,-96.5408614665615,Colorado County,TX
"Grant County, WA",293.8679553,5,47,48,170,907,2423,287,24,91878,3.678571428571429,3.5,1.3448275862068966,42,47.33336831580344,-119.55812913798431,Grant County,WA
"Carteret County, NC",293.71365110000005,4,30,20,147,618,1354,78,7,68434,3.6,3.75,1.1666666666666667,10,34.74052146440846,-76.61311072454596,Carteret County,NC
"Dooly County, GA",293.6241611,0,1,5,36,38,125,5,0,14304,2.2777777777777777,2.0,1.0,9,32.14224779221619,-83.764434029443,Dooly County,GA
"Scott County, MS",293.5663,1,4,17,62,153,174,27,7,28273,3.0576923076923075,3.0,1.4285714285714286,26,32.3599936427672,-89.53297931903084,Scott County,MS
"Surry County, NC",292.95003419999995,7,15,28,164,679,1466,121,19,73050,3.94,4.0,1.5641025641025639,50,36.4612833523724,-80.65697022627279,Surry County,NC
"Davison County, SD",292.5894163000001,0,19,3,36,62,364,24,3,19823,3.61,3.5,1.4102564102564104,50,43.705822769136574,-98.02258465974413,Davison County,SD
"Lewis and Clark County, MT",292.3260583,3,39,15,134,205,1135,65,11,65338,3.782608695652174,4.0,1.5769230769230769,46,47.05569496889832,-112.21278585725562,Lewis and Clark County,MT
"Perry County, TN",292.2861863,0,1,1,21,33,66,8,1,7869,4.266666666666667,4.5,1.1,15,35.614720777452284,-87.84299558809542,Perry County,TN
"Glades County, FL",292.2442863,0,3,1,35,72,111,11,0,13345,4.3,4.5,1.0,5,26.948467800000003,-81.2342426,Glades County,FL
"Jasper County, IL",291.90992489999996,0,1,0,27,27,72,7,1,9592,3.0416666666666665,3.25,1.5,12,38.993948089199755,-88.13873729845676,Jasper County,IL
"Fairfield County, CT",291.83831539999994,33,485,948,1277,3214,11574,1515,65,939904,4.21,4.0,1.7755102040816326,50,41.36841580536732,-73.42755118703391,Fairfield County,CT
"Missoula County, MT",291.5738728,0,42,43,241,468,3028,147,18,111807,4.111111111111111,4.5,1.4,9,47.09965297893852,-114.08272656330344,Missoula County,MT
"Union Parish, LA",290.90583599999997,0,1,2,62,86,208,6,0,22344,3.611111111111111,3.75,1.3333333333333333,18,32.77216243646409,-92.39848784266708,Union Parish,LA
"Mitchell County, GA",290.73551749999996,0,3,12,52,119,415,29,0,23045,3.033333333333333,3.0,1.0,15,31.231343947100033,-84.20361364174724,Mitchell County,GA
"Macomb County, MI",290.72182069999997,4,312,438,1731,3591,12722,1931,128,854769,4.2,4.0,1.6530612244897958,50,42.638535590165574,-82.93364894219226,Macomb County,MI
"Terry County, TX",290.3554893,0,3,7,27,80,138,7,2,12743,3.3269230769230766,3.5,1.1666666666666667,26,33.182415679263336,-102.27404750392023,Terry County,TX
"Carbon County, MT",290.1353965,0,7,0,23,24,90,9,2,10340,3.6,4.0,1.5,5,45.34161760304858,-108.90112070094341,Carbon County,MT
"Camp County, TX",290.018529,0,5,3,28,106,226,7,4,12413,3.6052631578947367,3.5,1.7142857142857142,19,32.995162060513124,-94.96359746460756,Camp County,TX
"Perry County, AR",289.99516669999997,0,4,1,25,37,127,7,0,10345,2.9,3.5,1.3333333333333333,5,35.0060802,-92.80192028,Perry County,AR
"Lake County, MI",289.8296153,0,11,0,22,140,130,3,2,11386,3.7352941176470584,4.0,1.5,17,43.93380799759414,-85.82056920571308,Lake County,MI
"Deer Lodge County, MT",289.4200879,1,5,0,21,13,163,8,0,9329,4.17,4.0,1.5652173913043481,50,46.06500813646247,-112.65834300714256,Deer Lodge County,MT
"Custer County, OK",289.34200219999997,1,12,3,69,138,331,41,1,29377,3.89,4.0,1.372093023255814,50,35.487024535038465,-98.9836676762828,Custer County,OK
"Franklin County, TN",289.3335603,4,13,5,97,222,564,39,5,41129,3.363636363636364,3.5,1.3333333333333333,44,35.19691534394385,-86.10214719919806,Franklin County,TN
"Grant County, KS",289.3081761,0,0,1,22,41,63,8,2,7950,3.4642857142857144,3.5,1.1111111111111112,14,37.57671810045439,-101.34773303615057,Grant County,KS
"Humboldt County, CA",289.2343838999999,2,39,130,218,1130,3212,508,48,134493,4.19,4.0,1.78,50,40.83802327691127,-124.12809441906884,Humboldt County,CA
"Jasper County, SC",289.1584363,9,14,25,29,201,547,62,8,26629,3.4574468085106385,3.5,1.2571428571428571,47,32.36162739456774,-80.97156572944684,Jasper County,SC
"Polk County, AR",289.1306478,1,9,3,46,214,360,13,8,20406,3.636363636363636,4.0,1.3478260869565215,33,34.549823392543225,-94.23017609070251,Polk County,AR
"Eureka County, NV",289.017341,0,2,0,4,14,13,2,0,2076,3.678571428571429,3.5,1.4117647058823528,28,40.307213365697116,-116.64279580841377,Eureka County,NV
"Clark County, WI",288.8920988,0,0,1,99,80,177,18,4,34615,4.27,4.25,1.6458333333333333,50,44.710095505003,-90.6782927931935,Clark County,WI
"Orange County, NY",288.8772924,9,68,377,632,1361,6868,242,35,375592,4.17,4.0,1.75,50,41.40988854406836,-74.35564594970253,Orange County,NY
"Iredell County, NC",288.7239617,1,31,89,354,1650,3251,247,19,164517,4.06,4.0,1.4680851063829787,50,35.783234617803934,-80.88343509528703,Iredell County,NC
"Jerome County, ID",288.7092476,0,13,7,45,138,186,21,6,22514,4.142857142857143,4.5,1.3333333333333333,7,42.596066742096774,-114.31807326690942,Jerome County,ID
"Mills County, IA",288.6680988,0,6,5,32,143,185,38,4,14896,4.025,4.5,1.2222222222222223,20,41.04044326595532,-95.70846158135349,Mills County,IA
